Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery,C265016
"BUTTON_A1, BUTTON_B1, DPAD_DOWN1, DPAD_LEFT1, DPAD_RIGHT1, DPAD_UP1",GameBoy-DMG-BTN,6,SW_SPST,
"BUTTON_SELECT1, BUTTON_START1",GameBoy-DMG-START-SEL,2,SW_SPST,
"C1, C2, C6",0603,3,2.2uF,C23630
C10,CP_EIA-3216-18_Kemet-A,1,10uF,C110055
"C11, C14, C18, C19, C8",0603,5,100nF,C14663
"C12, C13",0603,2,2.2nF,C1604
"C15, C3, C7",0603,3,4.7uF,C19666
"C16, C5",0603,2,10uF,C19702
"C17, C9",0603,2,1uF,C15849
C4,CP_EIA-7343-31_Kemet-D,1,220uF,C116577
D1,LED_D5.0mm-4_RGB,1,LED_RGBA,
D2,SOT-23,1,BAT54C,C2135
D4,SOT-23,1,BAV70,C68978
J1,USB_Micro-B_Molex_47346-0001,1,USB_B_Micro,C132560
J2,Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal,1,Conn_01x18,
J4,Jack_3.5mm_CUI_SJ1-3525N_Horizontal,1,AudioJack3_Switch,C4991936
L1,L_6.3x6.3_H3,1,6.8uH,C354624
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
Q1,SOT95P240X111-3N,1,MMUN2133LT1G,C86182
"Q2, Q5",SOT-23,2,MMBT2222A,C8512
Q4,SOT-23,1,AO3400A,C20917
"R1, R18",0603,2,10K,C25804
"R10, R19, R22, R24, R26, R27, R28, R3, R7",0603,9,1K,C21190
"R11, R12, R13, R16",0603,4,2K,C22975
"R17, R20",0603,2,100K,C25803
"R2, R25",0603,2,470,C23179
"R21, R23",0603,2,200,C8218
"R4, R8",0603,2,1.8M,C13318
R5,0603,1,330K,C23137
R6,0603,1,150K,C22807
R9,0603,1,200K,C25811
SW2,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,C318884
SW3,SW-SMD_4P-P1.50_L3.6-W11.3,1,SW,C319026
U1,MODULE_RASPBERRY_PI_ZERO_2_W,1,RASPBERRY_PI_ZERO_2_W,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,C107671
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,PAM8302AAD,C112137
U4,SON50P300X300X100-11N,1,MCP73833T-AMI_MF,C340160
U5,SON50P200X200X80-9N,1,MAX17048G_T10,C2682616
U6,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC04,C5590
U7,SOP65P640X120-17N,1,TPS61030,C9842
U8,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC00,C5586
U9,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC10,C6816
TH1,0603,1,,
