Designator,Mid X,Mid Y,Rotation,Layer
BT1,172.6865,-126.3525,0.0,bottom
BUTTON_A1,172.7865,-114.6025,0.0,top
BUTTON_B1,158.7385,-119.3325,0.0,top
BUTTON_SELECT1,138.572,-139.269,0.0,top
BUTTON_START1,151.572,-139.436,0.0,top
C1,130.186502,-147.8025,270.0,bottom
C10,120.0,-132.25,0.0,bottom
C11,116.486502,-150.7025,270.0,bottom
C12,141.486502,-149.1275,270.0,bottom
C13,141.486502,-153.4775,270.0,bottom
C14,121.0,-143.5,0.0,bottom
C15,172.811502,-117.9025,0.0,bottom
C16,164.25,-123.5,0.0,bottom
C17,164.25,-125.5,0.0,bottom
C18,165.5,-131.025,90.0,bottom
C19,162.0,-134.75,0.0,bottom
C2,130.086502,-151.9025,270.0,bottom
C3,116.411502,-40.4025,0.0,bottom
C4,130.6,-68.2,180.0,bottom
C5,169.711502,-130.5025,0.0,bottom
C6,128.911502,-63.1025,180.0,bottom
C7,174.911502,-130.4025,0.0,bottom
C8,172.711502,-107.3025,0.0,bottom
C9,170.286502,-56.2275,270.0,bottom
D1,115.7465,-54.1025,0.0,top
D2,116.224002,-47.2525,180.0,top
D4,169.586502,-73.4025,90.0,bottom
DPAD_DOWN1,122.7865,-125.1025,0.0,top
DPAD_LEFT1,114.7865,-117.1025,0.0,top
DPAD_RIGHT1,130.7865,-117.1025,0.0,top
DPAD_UP1,122.7865,-109.1025,0.0,top
J1,123.1365,-35.8025,180.0,bottom
J2,145.686502,-64.2025,0.0,top
J4,151.15,-150.225,0.0,bottom
L1,121.75,-50.25,0.0,bottom
LS1,176.1815,-134.5,270.0,bottom
Q1,133.8,-56.1025,0.0,bottom
Q2,115.6875,-66.05,180.0,top
Q4,156.886502,-65.4025,0.0,top
Q5,115.9375,-60.2,180.0,top
R1,120.986502,-47.1025,0.0,top
R10,151.061502,-119.3025,0.0,bottom
R11,167.761502,-107.3025,0.0,bottom
R12,172.611502,-103.2025,0.0,bottom
R13,120.0,-83.675,270.0,top
R16,121.5,-71.5,180.0,top
R17,170.386502,-51.5275,90.0,bottom
R18,175.486502,-53.5275,270.0,bottom
R19,145.261502,-129.3025,0.0,bottom
R2,136.086502,-144.9025,0.0,bottom
R20,149.261502,-129.3025,0.0,bottom
R21,120.761502,-57.3025,0.0,top
R22,120.761502,-60.5025,180.0,top
R23,120.761502,-63.7025,0.0,top
R24,120.5,-69.5,180.0,top
R25,136.061502,-156.6025,0.0,bottom
R26,165.75,-134.25,0.0,bottom
R27,169.0,-134.0,0.0,bottom
R28,116.461502,-43.8025,0.0,bottom
R3,129.161502,-40.2025,0.0,bottom
R4,133.386502,-49.6025,0.0,bottom
R5,131.086502,-45.9025,0.0,bottom
R6,158.7385,-119.3325,0.0,bottom
R7,133.461502,-63.1025,0.0,bottom
R8,124.361502,-63.1025,0.0,bottom
R9,124.411502,-67.6025,180.0,bottom
SW2,145.386502,-135.1275,0.0,bottom
SW3,171.959284,-64.75,270.0,bottom
TH1,165.411502,-119.1025,0.0,bottom
U1,151.9745,-69.65,90.0,bottom
U2,122.799002,-150.6025,270.0,bottom
U3,161.065244,-129.1025,270.0,bottom
U4,123.486502,-43.0375,270.0,bottom
U5,123.015,-139.25,0.0,top
U6,142.486502,-53.0025,270.0,top
U7,128.686502,-56.3025,270.0,bottom
U8,152.686502,-43.7025,0.0,top
U9,116.086502,-75.1025,270.0,top
